id,date,period,source_type,source_label,practice_action,outcome_type,theme,medium,intensity,confidence,affect,influence_on_direction,reflexive_note,evidence_link,tags,series,,,,,,,,,
Y1-W006,17/04/26,Year 1 / Term 2,writing,APR sample of writing (literature review),reframing,clarification,writing,text,5,4,reflective,strengthened,Preparing the literature review sample helped move the writing from broad contextual coverage towards a more situated account of my own research position.,APR sample of writing,literature review draft; literature review; writing; positioning writing,writing,,,,,,,,,
Y1-W007,17/04/26,Year 1 / Term 2,writing,APR abstract,writing,clarification,writing,text,2,4,reflective,strengthened,"Writing the APR abstract forced the project into a compressed form, making the central claims and terms easier to test.",APR abstract apr,abstract; framing; research claims writing,writing,,,,,,,,,
Y1-J061,18/04/26,Year 1 / Term 2,archival research,Comparison of official vs personal labels,mapping,insight,archive,text,3,4,curious,shifted,Small motion and hierarchy changes made the interface feel more like a journal encounter than a stats dashboard.,Comparison matrix Apr 20,official labels; personal labels,journal,,,,,,,,,
Y1-J062,19/04/26,Year 1 / Term 2,data science,Node weighting by confidence vs intensity,testing,redirection,data science,code,4,3,curious,shifted,"Re-reading the whole journal made recurring anxieties visible: over-framing over-designing and then learning to slow down.""",Notebook weights-compare,confidence; intensity,journal,,,,,,,,,
Y1-J063,20/04/26,Year 1 / Term 2,conversation,Supervisor meeting on ethics and representation,documenting,clarification,ethics,text,2,4,unsettled,strengthened,Printing the visualisation at scale showed which labels could survive without interaction and which needed digital support.,Supervision notes 2026-04-27,ethics; representation,journal,,,,,,,,,
Y1-J064,21/04/26,Year 1 / Term 2,coding,Pinned tooltip styling and motion pass,prototyping,confidence,graphic design,code,3,4,excited,strengthened,The counts were useful but they also flattened rich entries; I kept them as support rather than centrepiece.,Commit motion-pass,motion; tooltip,journal,,,,,,,,,
Y1-J065,22/04/26,Year 1 / Term 2,reading,Review of year-one notes and annotations,mapping,insight,reflexivity,text,4,4,reflective,strengthened,Auto-summaries erased nuance and uncertainty which undermined the reflexive quality I wanted to preserve.,Year review notes,review; pattern,journal,,,,,,,,,
Y1-J066,23/04/26,Year 1 / Term 2,graphic design,Poster draft of sankey for APR,prototyping,confidence,graphic design,diagram,3,4,excited,strengthened,With the interface further along I could see the archives less as raw material and more as collaborators in framing the project.,Poster proof v1,print; poster,journal,,,,,,,,,
Y1-J067,24/04/26,Year 1 / Term 2,data science,Summary stats by theme and medium,mapping,clarification,data science,code,2,4,curious,strengthened,Rehearsing the narrative revealed where I was still making neat causal claims from messy sequences.,Notebook summary-stats,counts; summary,journal,,,,,,,,,
Y1-J068,24/04/26,Year 1 / Term 2,machine learning,Small language model test for note summarisation,testing,dead end,machine learning,code,3,2,frustrated,disrupted,The pipeline made the project operational: data entry cleaning and visualisation finally felt like one research loop.,Notebook summarisation-test,llm; summary,journal,,,,,,,,,
Y1-J069,24/04/26,Year 1 / Term 2,archival research,Return to source material after prototype maturity,documenting,insight,archive,image,3,4,energised,shifted,The synthesis map suggested year two could compare institutional structures with my own emerging taxonomies more explicitly.,Field photos May visit,return visit; archives,journal,,,,,,,,,
Y1-J070,24/04/26,Year 1 / Term 2,critique,Year-one review rehearsal,reframing,clarification,method,presentation,3,4,unsettled,strengthened,Rehearsing the narrative revealed where I was still making neat causal claims from messy sequences.,Rehearsal slides / notes,rehearsal; narrative,journal,,,,,,,,,
Y1-J071,24/04/26,Year 1 / Term 2,coding,Machine learning MVP stress test working,documenting,confidence,visualisation,code,3,5,energised,strengthened,The pipeline made the project operational: data entry cleaning and visualisation finally felt like one research loop.,Pipeline script / commit,workflow; pipeline,journal,,,,,,,,,
Y1-J072,24/04/26,Year 1 / Term 2,making,End-of-year synthesis map,mapping,insight,reflexivity,image,4,4,reflective,opened,The synthesis map suggested year two could compare institutional structures with my own emerging taxonomies more explicitly.,Synthesis board May 29,synthesis; year two,journal,,,,,,,,,
Y1-P043,08/05/26,Year 1 / Term 3,making,Methodological rationale diagram for archival reactivation,reframing,clarification,method,diagram,4,5,reflective,strengthened,"The diagram clarified how oral history, archival LLM interrogation and visual analytics work together, while keeping descriptive statistics as a supporting check.",Methodological rationale for archival reactivation diagram; APR methods slide,oral history; archival LLM; visual analytics; methodology; reactivation,practice,,,,,,,,,
Y1-J073,13/05/26,Year 1 / Term 3,reading,Jaillant et al. Navigating artificial intelligence for cultural heritage organisations,reframing,insight,method,text,2,2,reflective,disrupted,"Reading Jaillant et al. helped me move from a general interest in AI and archives towards a more cautious account of cultural heritage AI as infrastructural, institutional and interpretive. It sharpened the need to treat AI not as a neutral tool for access, but as part of the archival conditions I am studying.",UCL Press page for Navigating Artificial Intelligence for Cultural Heritage Organisations,AI; cultural heritage; archives; ethics; access; infrastructure,journal,,,,,,,,,
Y1-P044,14/05/26,Year 1 / Term 3,coding,Database payload expansion to highlight archive missingness,prototyping,dead end,archive,code,3,3,frustrated,shifted,"Expanding the database payload made missingness more visible, but it also exposed a tension in the practice: adding more fields can clarify absence while also making the system feel overdetermined. The dead end was useful because it showed that missingness needs to be represented selectively, not merely accumulated as more metadata.",API commit / Kanban WIP board / payload schema notes,missingness; metadata; API; schema; archive; dead end,practice,,,,,,,,,
Y1-J074,15/05/26,Year 1 / Term 3,conversation,RCA's Friction research group kick off meeting,mapping,question,reflexivity,conversation,5,1,unsettled,opened,"The Friction research group meeting opened a useful critical frame for thinking about resistance, uncertainty and productive difficulty in the future of graphic design.",RCA Friction research group notes / calendar entry / meeting notes,friction; research culture; reflexivity; uncertainty; graphic design,journal,,,,,,,,,
Y1-P045,16/05/26,Year 1 / Term 3,graphic design,Design of SoC RCA + CVS Royal Holloway booklet,documenting,confidence,graphic design,text,3,5,energised,strengthened,"Designing the RCA SoC and Royal Holloway CVS PGR booklet made editorial and graphic design function as research support rather than presentation alone. The work clarified how layout, hierarchy and sequencing can shape how postgraduate research becomes legible to others.",Royal Holloway/RCA PGR seminar page; booklet PDF/export,graphic design; editorial design; PGR; research communication; layout,practice,,,,,,,,,
Y1-P046,18/05/26,Year 1 / Term 3,coding,Keyword functionality for API database media asset ingestion,prototyping,clarification,archive,code,2,3,frustrated,strengthened,"Building keyword functionality for media-asset ingestion strengthened the archive system, but the frustration showed that keywords can easily become a false promise of order. The task clarified that search terms need to support discovery while remaining open to ambiguity, synonymy and uneven archival description.",API commit / media ingestion branch / Kanban WIP board,keywords; media assets; ingestion; archive; search; metadata,practice,,,,,,,,,
Y1-J075,19/05/26,Year 1 / Term 3,critique,Article accepted for Itinerant Space peer reviewed experimental journal,documenting,confidence,reflexivity,text,1,3,energised,strengthened,"Acceptance by itinerant space gave the experimental writing a public test and helped validate peer review as part of the practice ecology. It also made publication feel less like an end point and more like another site where the research can be reformatted, reviewed and made visible.",itinerant space journal/platform page; acceptance email,peer review; publication; experimental writing; itinerant space; visibility,journal,,,,,,,,,
Y1-W008,20/05/26,Year 1 / Term 3,writing,Archer paper,reframing,insight,method,text,3,4,energised,disrupted,Writing through the Archer paper disrupted my assumption that the practice needed to be justified only through external academic frameworks. ,Archer paper notes / annotated draft,Archer; design research; research through practice; method; tacit knowledge,writing,,,,,,,,,
Y1-J076,23/05/26,Year 1 / Term 3,archival research,Design of SoC RCA + CVS Royal Holloway presentation,reframing,question,visualisation,presentation,4,2,uncertain,opened,"Designing the SoC RCA and CVS Royal Holloway presentation made the project face an external audience before the narrative felt fully settled. The uncertainty was useful because it exposed where the visuals were carrying too much explanatory work and where the relationship between archive, method and practice still needed clearer framing.",Presentation deck / rehearsal notes / seminar planning file,rehearsal; narrative; presentation; visualisation; public framing,journal,,,,,,,,,
Y1-W009,25/05/26,Year 1 / Term 3,writing,Script of SoC RCA + CVS Royal Holloway presentation,writing,confidence,method,text,4,5,excited,strengthened,"Writing the presentation script turned the talk from a sequence of examples into a more deliberate argument. It strengthened the project by helping me connect the archive material, the coded journal and the design work through a clearer account of method rather than relying on the slides to imply those links.",Presentation script draft / speaker notes,script; presentation; method; research narrative; SoC; CVS,writing,,,,,,,,,
Y1-J077,25/05/26,Year 1 / Term 3,reading,"Levelling up of strands, feminism, missingness in archives, RAG and UMAP",mapping,clarification,method,text,2,4,reflective,opened,"Bringing the strands together helped me see that feminist archival critique, missingness, RAG and UMAP were not separate interests but different pressures on the same methodological problem.",Reading notes / strand mapping notes,feminism; missingness; archives; RAG; UMAP; methodology,journal,,,,,,,,,
Y1-W010,27/05/26,Year 1 / Term 3,writing,Agreement with V&A,documenting,clarification,ethics,text,2,4,unsettled,disrupted,"Working on the V&A agreement made the institutional conditions of the research unavoidable. It disrupted the sense of the project as freely self-directed, but clarified the responsibilities attached to access, permissions, representation and the handling of archival material within a live partnership.",V&A agreement draft / correspondence,V&A; agreement; access; ethics; partnership; permissions,writing,,,,,,,,,
Y1-P047,27/05/26,Year 1 / Term 3,graphic design,Alluvial diagram,mapping,insight,visualisation,diagram,2,4,excited,strengthened,"Making the alluvial diagram strengthened the visual argument by showing movement between sources, actions and outcomes rather than presenting the research as a linear timeline. The diagram helped make drift, recursion and redirection visible as part of the method, not as noise around it.",Alluvial diagram export / Figma file,alluvial diagram; visualisation; flow; process; research direction,practice,,,,,,,,,
Y1-W011,29/05/26,Year 1 / Term 3,writing,Writing of SoC RCA + CVS Royal Holloway introduction,writing,clarification,writing,text,3,5,energised,strengthened,Writing the introduction clarified how to position the event and the research for a mixed audience without overloading the opening with methodological detail. It strengthened the communication of the project by giving the presentation a clearer point of entry and a more confident tone.,Introduction draft / event notes,introduction; public writing; presentation; framing; SoC; CVS,writing,,,,,,,,,
Y1-J078,03/06/26,Year 1 / Term 3,coding,Git controlled deployment to production environment,documenting,clarification,data science,code,1,4,curious,shifted,"Moving the project into a Git-controlled production environment shifted the build from a local prototype towards something more reproducible and maintainable. Even though the task was small in intensity, it clarified that versioning, deployment and infrastructure are part of the research method rather than background technical support.",Deployment commit / production notes,git; deployment; production; version control; infrastructure; reproducibility,journal,,,,,,,,,
Y1-J079,06/06/26,Year 1 / Term 3,coding,New NAS and RAID back ups,documenting,clarification,archive,hardware,1,5,reflective,shifted,"Setting up the NAS and RAID backups reframed storage as a practical form of care for the research archive. The work shifted my attention from producing outputs towards maintaining the conditions that allow the project data, code and evidence to remain available, recoverable and accountable over time.",NAS setup notes / backup log,NAS; RAID; backup; storage; data stewardship; archive infrastructure,journal,,,,,,,,,
Y1-W012,08/06/26,Year 1 / Term 3,writing,AI/ML research inquiry instruments Sow (Statement of Work),documenting,question,method,text,2,4,uncertain,opened,"Writing the SoW helped me frame the machine learning research instruments of inquiry into five buckets: retrieval, missingness analysis, oral-historical interpretation, embedded based visual analytics, and corroborative checking.",Conceptual framework for archival activation doc,ML; AI; SoW; RAG; LLM; UMAP; core positioning,writing,,,,,,,,,
Y1-J080,08/06/26,Year 1 / Term 3,conversation,V&A agreement meeting,documenting,clarification,archive,conversation,4,4,energised,strengthened,Stakeholder meeting with V&A archive team and RCA special collections team with favourable outcome and signing agreement regarding image and data rights. Should now be fit for purpose moving forwards.,V&A data agreement doc,ethics; rights; metadata; stakeholder management,journal,,,,,,,,,
Y1-J081,09/06/26,Year 1 / Term 3,conversation,Research presentation from Hotessa Laurence,reframing,insight,reflexivity,conversation,3,5,reflective,disrupted,Tessa (Yr3) crushed it with her 12 minute presentation. I should prepare notes similar to hers to keep the presentation on track and allow room to riff off the slides.,CVC + RCA methods of intent,presenting; knowledge sharing; rhetoric; articulation,journal,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
